id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
126	composite	0.7328	0.0009	4	192	640	64	2019.2812	40.9062	1.7008
127	comprehensive analysis	-0.183	-0.7506	1	55	79	11	2023.1818	9	0.4491
128	concentration range	-0.3621	0.7078	5	204	516	46	2014	30.4348	0.7983
129	conduction	0.141	-0.2836	1	132	388	30	2014.9667	82.2667	1.1517
130	conduction band	1.0865	-0.4538	6	81	190	12	2020.9167	18.0833	0.5629
131	conductive polymer	0.9686	-0.1746	1	79	184	16	2018.75	65.625	1.8274
132	conductor	0.4919	-0.4559	6	86	261	28	2008.8571	74.0357	1.9582
133	constant capacitance	-0.9553	1.0281	5	74	221	17	2013.1176	28.7059	1.0504
134	continuous monitoring	-0.5831	-0.2477	2	55	87	12	2017.4167	11.6667	0.2769
135	copper	-0.0025	-0.2926	3	95	215	21	2019.5238	21.5714	0.8008
136	cost effectiveness	0.3439	0.1195	4	78	128	13	2022	24.6923	1.6038
137	covid	-0.565	-0.1711	2	122	494	41	2021.6829	41.8049	1.7673
138	cqd	0.8337	-0.0165	4	35	236	14	2022.9286	43.5714	5.431
139	crystal	0.6435	0.2274	4	147	370	46	2018.1739	44.5652	1.3829
140	ctni	-0.6978	0.3942	2	37	109	14	2020.5	28.3571	0.9167
141	cu2o	0.9704	0.4626	4	70	200	18	2022	32.8889	1.5767
142	cuo	1.0891	0.5366	4	70	219	18	2019.7222	49.5556	2.6068
143	current ratio	-0.6478	-0.7521	3	103	220	20	2019.3	28.65	1.0277
144	current sensitivity	-1.137	-0.6772	3	80	251	21	2022.6667	9	0.7493
145	cvd	0.1322	-0.1172	1	83	181	14	2016.5714	30.3571	0.7753
146	cyclic voltammetry	0.3491	0.5845	4	143	297	30	2016.9667	20.1667	0.5999
147	debye	-0.8044	0.0407	2	47	94	12	2019.5833	25.9167	0.9547
148	debye length	-0.5736	0.2632	2	82	157	14	2017.5	9	0.2786
149	defect	0.3087	0.4321	5	223	723	65	2016.3385	26.8462	0.7755
150	dendrimer	-0.4962	0.8433	5	54	190	12	2016.5833	28.6667	1.0272
151	density functional theory	0.7367	0.7292	4	77	182	18	2021.1111	9.7778	0.5222
152	detector	0.504	-0.5657	1	197	660	95	2015.1263	35.4526	0.7493
153	device performance	-0.6127	-0.7165	3	116	197	24	2020.6667	38.0833	1.3798
154	device structure	-0.6486	-0.5821	3	90	157	20	2018.8	44.9	1.4337
155	dft	0.7306	0.6677	4	70	138	14	2022.7143	5.3571	0.4851
156	diamond	-0.0906	0.0178	3	71	351	42	2015.3095	18.2381	0.4761
157	dielectric constant	-1.1038	-0.7237	3	57	126	13	2022.6923	11.0769	0.5319
158	dielectric modulation	-1.3363	-0.6651	3	45	161	12	2021.25	26.75	0.9445
159	differentiation	-0.0848	0.1557	2	63	116	22	2015.8182	17.1818	0.525
160	dimensional material	0.6106	-0.5301	1	71	130	14	2020.7143	34	0.8188
161	direct detection	-0.5055	-0.1842	2	113	216	26	2013.0385	28.5385	0.4998
162	direct electron transfer	0.3456	0.8108	5	78	232	15	2015	30.9333	0.7457
163	distance	0.6551	0.1764	6	178	516	39	2017.7179	22.7436	0.8676
164	dna biosensor	-0.1204	0.4911	2	144	357	39	2012.8974	69.2308	1.0675
165	dna detection	-0.4007	0.129	2	152	349	33	2014.1212	37.303	1.1109
166	dna hybridization	-0.3822	0.0471	2	108	212	28	2012.75	42.7857	0.785
167	dna molecule	-0.1487	-0.1585	1	143	475	47	2016.8511	10.8298	0.3147
168	dna probe	-0.5568	0.586	2	95	205	18	2014.4444	55.2222	1.1491
169	dna sensor	0.0492	0.2697	2	100	238	23	2016.087	61.4783	1.0512
170	dna sequence	-0.4396	0.2466	2	86	177	20	2014.75	82.55	1.8113
171	dopamine	0.6238	0.3772	4	133	331	33	2019.0606	51.8485	1.4445
172	doping	0.4138	0.0751	4	216	826	80	2020.0125	18.525	0.6759
