id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
163	glycopolymer	0.5094	-0.2772	4	26	232	18	2022.3333	45.2222	1.5731
164	gold	0.4462	0.0837	4	181	582	42	2015.619	27.5952	0.7471
165	gold nanoparticle	0.6684	-0.0708	5	163	696	43	2016.3953	30.1395	1.1413
166	good biocompatibility	-0.6006	-0.374	2	134	411	22	2018.3182	82.1364	2.3063
167	gox	1.0487	-0.3651	5	99	672	36	2016.7778	23.4167	0.9995
168	graphene	0.2103	-0.0237	3	208	1991	136	2018.5662	40.8162	1.2015
169	graphene oxide	0.2582	-0.5229	5	156	950	58	2020.6379	47.7241	1.8709
170	graphene sheet	0.567	-0.1781	3	54	347	23	2014.8261	20.1304	0.8344
171	great interest	0.1898	-0.6113	3	106	220	20	2016.05	32.1	1.5423
172	health	-0.6317	0.6705	1	175	721	82	2018.2073	14.4878	0.6768
173	healthcare	-0.7438	0.4987	1	194	968	68	2021.4559	16.4853	1.072
174	heart	-0.6603	0.6204	1	65	188	30	2014.7333	10.1667	0.8078
175	high sensitivity	0.9995	0.5472	4	198	1465	83	2017.3614	42.3855	1.3405
176	hyaluronic acid	-0.1629	-0.4625	3	83	271	19	2016.1579	21.8947	0.8359
177	hybrid material	-0.0144	-0.1062	2	126	340	28	2017.1429	32.7857	1.5865
178	hydrogel	-0.4685	-0.2019	2	281	7421	579	2020.1313	79.8774	2.7978
179	hydrophilicity	-0.3255	-0.7569	2	130	441	28	2017.3214	31	0.9171
180	identification	0.3591	0.7051	4	144	531	45	2014.3556	19.6667	0.9183
181	immobilization	0.6438	-0.2616	5	264	3212	216	2013.3889	33.7546	0.7078
182	immunosensor	1.0142	0.3989	4	121	530	27	2011.0741	125.4074	1.9313
183	implantable device	-0.5919	-0.0954	1	114	264	20	2017.4	123.7	3.701
184	implantation	-0.0701	-0.1124	3	159	716	54	2012.3519	44.1667	1.1208
185	infection	-0.1109	0.6099	4	173	888	57	2019.2281	28.3684	0.8992
186	intelligent biomaterial	-0.9652	0.615	1	50	172	25	2022.96	19.24	1.9729
187	interface	0.098	-0.2665	3	296	4308	265	2013.834	41.0604	1.3477
188	ion	0.3144	-0.4487	5	186	938	66	2014.8485	22.1515	1.3581
189	kinetic	0.2453	-0.5534	3	174	747	56	2015.8393	34.0357	1.1064
190	large surface area	0.0418	-0.1444	2	173	554	31	2020.3226	23.871	0.9247
191	laser	-0.5715	-0.452	3	122	620	50	2012.38	28.84	0.7171
192	ligand	0.3533	-0.0205	3	139	551	45	2013.5333	38	0.9528
193	light	0.2513	0.3175	4	214	1297	104	2016.2308	29.5962	0.9278
194	lignin	-0.2204	-0.2837	2	72	465	42	2022.2143	65.9286	2.1815
195	lipid	0.2862	-0.1835	3	90	296	27	2015.8519	29.8889	0.9856
196	low cost	0.1519	0.6615	4	175	887	64	2018.3438	37.4375	1.6796
197	lysozyme	1.3544	-0.717	3	51	348	24	2012.2083	45.5833	1.3374
198	macrophage	0.6414	0.4728	3	88	442	23	2016.3478	21.5652	0.6191
199	magnetic resonance imaging	-0.3683	0.5468	1	108	241	25	2013.92	8.28	0.5266
200	material surface	-0.3337	-0.807	3	72	308	21	2015.2381	57.3333	2.5021
201	materials science	-0.8204	0.0443	1	154	465	36	2019	28	1.1391
202	measurement	0.6925	0.1148	4	267	3518	309	2011.7055	39.301	0.8031
203	mechanical property	-0.5751	-0.4847	2	261	2015	127	2017.5827	38.0315	1.4995
204	mechanical strength	-0.7729	-0.2651	2	171	718	40	2021.425	19.55	1.3112
205	medical application	-0.5094	-0.1524	2	205	1025	63	2018.6032	34.873	1.1174
206	medical device	-0.7404	-0.0624	1	229	1500	96	2017.3854	25.8438	1.2212
207	medical diagnostic	0.1306	0.5549	1	101	267	22	2018.8636	20.4091	0.9196
208	medical implant	-0.4711	-0.1034	1	112	353	29	2014.8276	53.1379	1.0535
209	medical physics	-0.8658	0.6704	1	22	103	28	2015.8571	15.1071	0.7409
210	metal ion	-0.2503	-0.2394	2	119	406	27	2017.9259	23.4815	0.9033
211	mhz	1.1941	0.3499	4	44	165	19	2011.4211	13.8947	0.3479
212	microfluidic	-0.3228	0.5696	1	145	465	48	2017.875	34.7083	1.8227
213	microfluidic channel	0.9105	0.7017	4	86	319	21	2016.0476	6.1905	0.1594
214	microfluidic device	-0.0042	0.8123	1	94	325	25	2015.24	49.96	1.4247
215	miniaturization	-0.1235	0.6615	1	109	260	19	2018	14	0.6112
216	modification	0.1367	-0.481	3	259	1905	130	2016.2846	37.8692	1.7412
217	monitoring	0.0443	0.6619	1	269	2415	197	2017.0558	31.2386	1.0221
218	monolayer	0.8614	-0.3949	3	166	1084	84	2011.4762	57.6667	1.2225
219	monomer	0.511	-0.6351	3	163	1078	58	2012.7931	31.6034	0.9602
220	morphology	-0.13	-0.5913	2	250	1887	122	2015.9344	35.1148	1.3893
221	mxene	-0.8057	0.0401	2	82	653	53	2023.4151	36.0755	2.2622
222	nanobiotechnology	-0.2846	0.3733	6	102	287	21	2013.9524	58.6667	0.9581
223	nanocellulose	-0.8554	-0.1608	2	58	307	32	2022.2812	8.1562	0.3934
224	nanofiber	-0.4376	-0.587	2	209	2319	125	2018.144	44.744	1.4536
225	nanomaterial	-0.2568	0.2832	1	294	4737	348	2019.8477	39.0603	1.4186
226	nanomedicine	-0.7168	0.4778	1	143	687	46	2018.7391	22.0652	0.8207
227	nanowire	0.7492	1.0456	4	83	392	34	2015.1176	74.8824	1.6527
